filename,target
2-173607-A-39_split_segment_1.wav,39
2-173607-A-39_split_segment_2.wav,39
2-173607-A-39_split_segment_3.wav,39
2-173607-A-39_split_segment_4.wav,39
2-173607-A-39_split_segment_5.wav,39
3-123086-A-28_split_segment_1.wav,28
3-123086-A-28_split_segment_2.wav,28
3-123086-A-28_split_segment_3.wav,28
3-123086-A-28_split_segment_4.wav,28
3-123086-A-28_split_segment_5.wav,28
5-212181-A-38_split_segment_1.wav,38
5-212181-A-38_split_segment_2.wav,38
5-212181-A-38_split_segment_3.wav,38
5-212181-A-38_split_segment_4.wav,38
5-212181-A-38_split_segment_5.wav,38
2-70367-A-33_split_segment_1.wav,33
2-70367-A-33_split_segment_2.wav,33
2-70367-A-33_split_segment_3.wav,33
2-70367-A-33_split_segment_4.wav,33
2-60794-A-26_split_segment_1.wav,26
2-60794-A-26_split_segment_2.wav,26
2-60794-A-26_split_segment_3.wav,26
2-60794-A-26_split_segment_4.wav,26
2-60794-A-26_split_segment_5.wav,26
5-242932-B-26_split_segment_1.wav,26
5-242932-B-26_split_segment_2.wav,26
5-242932-B-26_split_segment_3.wav,26
5-242932-B-26_split_segment_4.wav,26
5-242932-B-26_split_segment_5.wav,26
1-18755-B-4_split_segment_1.wav,4
1-18755-B-4_split_segment_2.wav,4
1-18755-B-4_split_segment_3.wav,4
1-18755-B-4_split_segment_4.wav,4
1-18755-B-4_split_segment_5.wav,4
5-213836-A-9_split_segment_1.wav,9
5-213836-A-9_split_segment_2.wav,9
5-213836-A-9_split_segment_3.wav,9
5-213836-A-9_split_segment_4.wav,9
5-213836-A-9_split_segment_5.wav,9
1-69165-A-34_split_segment_1.wav,34
1-69165-A-34_split_segment_2.wav,34
1-69165-A-34_split_segment_3.wav,34
3-170015-A-0_split_segment_1.wav,0
3-170015-A-0_split_segment_2.wav,0
3-170015-A-0_split_segment_3.wav,0
3-170015-A-0_split_segment_4.wav,0
4-132383-B-2_split_segment_1.wav,2
4-132383-B-2_split_segment_2.wav,2
4-132383-B-2_split_segment_3.wav,2
4-132383-B-2_split_segment_4.wav,2
4-132383-B-2_split_segment_5.wav,2
2-120586-A-6_split_segment_1.wav,6
2-120586-A-6_split_segment_2.wav,6
